message_index,timestamp_ns,symbol,bid_price,ask_price,bid_size,ask_size,spread,source_path,limitation
61846,1517068638657126902,AWP,6.63,6.65,6424,5084,0.020000000000000462,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61849,1517068638776210787,AWP,6.63,6.65,6002,5084,0.020000000000000462,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61851,1517068638808653243,AWP,6.63,6.65,5008,5084,0.020000000000000462,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61855,1517068638841066378,AWP,6.62,6.65,5859,5084,0.03000000000000025,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61856,1517068638866133438,AWP,6.62,6.64,5859,4816,0.019999999999999574,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61860,1517068638882524212,AWP,6.62,6.65,5859,4841,0.03000000000000025,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61862,1517068638894688839,AWP,6.62,6.65,5859,728,0.03000000000000025,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61869,1517068638916558910,AWP,6.62,6.68,5859,37380,0.05999999999999961,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61877,1517068639008394063,AWP,6.61,6.68,7737,37380,0.0699999999999994,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61878,1517068639025935697,AWP,6.61,6.65,7737,3769,0.040000000000000036,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61881,1517068639071644715,AWP,6.61,6.65,7737,11197,0.040000000000000036,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61885,1517068639204310596,B,67.88,71.8,1424,5516,3.9200000000000017,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61890,1517068639270257907,B,67.89,71.8,1424,5516,3.9099999999999966,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61897,1517068639328621577,B,67.89,71.8,2102,5516,3.9099999999999966,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61898,1517068639354600819,B,69.93,71.8,2102,5516,1.8699999999999903,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61899,1517068639410477004,B,69.93,71.8,11127,5516,1.8699999999999903,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61900,1517068639530582942,B,69.93,71.8,14821,5516,1.8699999999999903,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61901,1517068639565573645,B,69.93,71.8,14821,10362,1.8699999999999903,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61902,1517068639642396288,B,69.93,71.8,22583,10362,1.8699999999999903,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61903,1517068639738085304,B,69.93,71.8,22780,10362,1.8699999999999903,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61904,1517068639776086215,B,69.93,71.8,28739,10362,1.8699999999999903,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61905,1517068639855797613,B,69.93,71.8,29344,10362,1.8699999999999903,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61906,1517068639884083170,B,69.93,71.79,29344,6512,1.8599999999999994,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
